,gene_name,AUROC,avg_diff,cluster_revised
187,Calb2,0.3499957359737225,1.0229251,5
188,Nrxn3,0.34604886406897356,0.87210894,5
189,Epha5,0.27784423093966326,0.80003357,5
190,Rab3c,0.2749502669614883,0.8606856,5
191,Fabp5,0.27198049807171254,0.7161928,5
192,Pcdh7,0.23342561838135337,0.8520806,5
193,Acot7,0.22771238055849266,0.7159506,5
194,Edil3,0.22426409316423637,0.7976742,5
195,Synpr,0.9464065605980369,1.7465,6
196,Cacna2d1,0.8574675283143889,0.8466432,6
197,Spock1,0.8551544083974838,1.0220098,6
198,Stxbp6,0.8119712238314158,0.90421414,6
199,Ebf3,0.8095641490077492,0.82115114,6
200,Nxph1,0.7682782267658277,0.7426936,6
201,Vstm2a,0.7560402963576963,0.70431274,6
202,Cck,0.708845064585204,0.83208203,6
203,Penk,0.6564583285364525,1.049593,6
204,Sst,0.46832606765776635,1.4590669,6
205,Tac2,0.45948228224079574,1.0657618,6
206,Npy,0.403602137745952,1.1359062,6
207,Nts,0.4032898927801186,1.0055394,6
208,Gad1,0.36607581885954465,0.8848105,6
209,Calb1,0.3281078671404706,0.938503,6
210,Dgkb,0.3280818360669158,0.9157703,6
211,Nrxn3,0.28066012755865627,1.1243606,6
212,Alcam,0.2641180518779469,0.9086061,6
213,Cartpt,0.2596760762281934,1.59304,6
214,Rprm,0.2581849498182302,1.724161,6
215,Clstn2,0.25315014365059263,0.70513296,6
216,Pcdh7,0.234655609536455,0.83661497,6
217,Ntng1,0.19667505801027937,1.111992,6
218,Syn2,0.17635642999496007,0.8543464,6
219,Nrp2,0.1742537332524899,1.0391682,6
220,Calb2,0.9091641471865496,1.5520803,7
221,Nxph1,0.8370808959579868,0.9426904,7
222,Negr1,0.835860431748817,0.815277,7
223,Rab3c,0.8155480635885923,0.7372037,7
224,Foxp2,0.8143607613842666,1.0649438,7
225,Htr2c,0.8135480361883259,0.8717029,7
226,Ar,0.7984812826090381,1.035013,7
227,Glra3,0.7976079951417022,0.8209306,7
228,Crim1,0.7804590773818099,0.74090123,7
229,Tac1,0.7796903974741562,1.9862009,7
230,C1ql3,0.7744938857073422,0.94300526,7
231,Irs4,0.7338701736959232,0.81726605,7
232,Sst,0.47136774576342577,1.3307482,7
233,Tac2,0.46572233056424195,1.1606808,7
234,Npy,0.40406379242992096,1.0306894,7
235,Dlk1,0.40034087724130013,1.0439613,7
236,Rprm,0.38640310427094604,1.2097617,7
237,Gad1,0.380062887452893,0.801434,7
238,Gad2,0.37965098718422946,0.86130583,7
239,Pvalb,0.3746375066372024,0.79799205,7
240,Cartpt,0.3676021040843939,0.9380418,7
241,Plcb4,0.3145300284514637,0.7023228,7
242,Slc24a2,0.3125106031989427,0.7141422,7
243,Cox6a2,0.30611763446584783,0.89197445,7
244,Ntm,0.27084267215081725,0.73791635,7
245,Cpne9,0.26768536760466494,0.8926569,7
246,Dgkb,0.25373690340881083,1.1541289,7
247,Lhx1os,0.25342384896153636,0.90208465,7
248,Cck,0.25237105133670407,1.5597275,7
249,Foxb1,0.24865812316112523,1.1517614,7
250,Nkx2-1,0.23700187051632726,0.7151915,7
251,Pcp4,0.18875140954525416,1.3098366,7
252,Tcf4,0.9159146501912803,1.2427983,8
253,Nr4a2,0.8506652383569664,1.2720422,8
254,Ebf3,0.8317262254165427,0.997737,8
255,Slc6a1,0.8296751581546778,0.9072585,8
256,Rab3c,0.8279138529951686,0.83908343,8
257,Pbx1,0.8045807635955413,0.74628484,8
258,Syt4,0.8030050556558106,0.72634304,8
259,Calb2,0.7978488161170632,1.1026644,8
260,Nnat,0.7927054998746597,0.89866436,8
261,Epha5,0.7888608970636091,0.87421894,8
262,Nxph1,0.7832367719162757,0.729048,8
263,Hpcal1,0.781010383790761,0.7178955,8
264,Zeb2,0.7789297330794348,0.7942771,8
265,Sema5a,0.7773094942631463,0.9902241,8
266,Adamts2,0.7694519743838467,0.9579004,8
267,Ebf1,0.7593017371712929,1.0190904,8
268,Cbln1,0.7393410053078936,0.7518952,8
269,Nell1,0.7320693934302944,0.77737635,8
270,Lmo4,0.7134858489905037,0.7818228,8
271,Lypd1,0.7102168778250247,0.8899812,8
272,Pthlh,0.7000655506959118,0.80050874,8
273,Crhbp,0.6913990013250271,1.3584999,8
274,C1ql1,0.6619765481096953,1.2276819,8
275,Sst,0.5094181246895684,1.1248927,8
276,Rprm,0.4651520978558227,0.7752168,8
277,Tac2,0.4535958682820268,1.1734372,8
278,Npy,0.40678021521180974,1.0979718,8
279,Nts,0.40543089851164105,1.0320551,8
280,Pvalb,0.394388175339548,0.7341221,8
281,Gad1,0.38254529771070817,0.83097625,8
282,Calb1,0.3693565288337426,0.9395306,8
283,Cox6a2,0.31305066087869077,0.8667387,8
284,Brinp3,0.27773580734012093,0.75371677,8
285,Zfhx4,0.2756453473797627,0.7314725,8
286,Pcp4,0.2643078796296152,0.9492662,8
287,Foxb1,0.26254268191096625,1.1326641,8
288,Lhx1os,0.2595595802887033,0.89584816,8
289,Cartpt,0.25192829594660027,1.751866,8
290,Rgs4,0.24980638410839376,0.8367591,8
291,Dgkb,0.20293218694871634,1.3528739,8
292,Zfhx3,0.1546579141176892,1.2440143,8
293,Nnat,0.8161348671157804,1.0923616,9
294,Epha5,0.8049462863172343,0.8023754,9
295,Otp,0.7437098376908985,0.7371326,9
296,Dlk1,0.722502126527551,0.85447633,9
297,Calcr,0.7191763883346689,0.8379712,9
298,Cbln2,0.7170132543304597,0.75139976,9
299,Arhgap36,0.6760099748393508,0.797739,9
300,Trh,0.6606324700916895,1.2187616,9
301,Vgf,0.5962305412948737,0.78754854,9
302,Calca,0.5922404378914237,0.7202756,9
303,Sst,0.5530831296226126,0.89850426,9
304,Hcrt,0.5106295639305161,1.2267296,9
305,Tac2,0.4639979723937044,1.0078119,9
306,Npy,0.4140952729053005,0.8357986,9
307,Nts,0.40645779750986694,0.96174514,9
308,Tac1,0.40269892952670927,1.5838144,9
309,Pvalb,0.3985893661327154,0.7016118,9
310,Gad1,0.39380635577448636,0.7116457,9
311,Adcyap1,0.3125572150481026,0.7214905,9
312,Rprm,0.29424909825172046,1.5945109,9
313,Cck,0.2728318081575944,1.3226998,9
314,Cartpt,0.26396717826280863,1.6059039,9
